filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
pka379,379,1836.34078349849,0.180906,2058.534367886429,1.792768,2.151996
xql662,662,3484.3194471859624,0.583985,3859.374815172402,9.781935,10.501334
pma343,343,1809.0898073634405,0.158983,2098.5793200658004,1.352534,1.643346
pbd984,984,3774.978079168526,1.362430,4265.894364725661,32.736813,34.251991
xqf131,131,772.4333563580142,0.021396,959.2821670656474,0.075658,0.221137
dka1376,1376,6582.111058167823,2.746148,7004.84417741829,90.392890,93.289324
pbn423,423,1902.6384495338514,0.259135,2016.4678425337265,2.490411,2.882266
pbl395,395,1721.5596585842795,0.200263,2042.3510948231792,2.038459,2.373159
qa194,194,12510.481335434866,0.047340,12184.777604200213,0.245140,0.431548
bcl380,380,2282.4983015627586,0.192409,2519.4682599211196,1.849935,2.176628
dj38,38,8739.289031415929,0.001822,9298.748947760494,0.002724,0.140748
uy734,734,107025.9933815494,0.754043,120756.09958505626,13.968534,14.857880
rbx711,711,4405.273853247644,0.702161,4693.541479772809,12.100631,12.944304
pbk411,411,1817.6066443233765,0.217345,2022.7982400859444,2.288583,2.641423
lu980,980,15763.013450330001,1.350645,21562.200550287344,33.303723,34.801681
pbm436,436,1985.907778986488,0.242855,2000.239403450033,2.792248,3.168862
wi29,29,35008.90657028173,0.001077,34167.58234550305,0.001168,0.133788
zi929,929,131909.24286096534,1.288596,154667.1987508706,27.928368,29.368565
lim963,963,3832.1798116132563,1.319982,4183.4142194980195,29.317603,30.790154
xit1083,1083,5046.727348360957,1.641331,5363.1133549568285,41.858810,43.645692
xqg237,237,1356.7876980100796,0.074646,1410.7846641469741,0.428809,0.641266
dkg813,813,4491.915148479281,0.896181,4954.675051830373,18.435593,19.469944
rbu737,737,4490.496580431814,0.729834,4833.538492010804,13.187142,14.058674
