n_nodes,mst_time_s,mst_cost,christofides_time_s,christofides_cost,brute_time_s,brute_cost,dp_time_s,dp_cost
2,0.00011925,85.50853225,3.475e-05,85.50853225,8.75e-06,85.50853225,5.2500000000000006e-06,85.50853225
3,0.0001582857142857143,162.26002757142857,5.157142857142857e-05,162.26002757142857,1.0285714285714286e-05,162.26002757142857,9.142857142857142e-06,162.26002757142857
4,0.000152,202.4504922,5.0600000000000003e-05,189.3158208,1.8200000000000002e-05,182.77733039999998,1.6199999999999997e-05,182.77733039999998
5,0.0010731428571428571,221.3985587142857,7.685714285714285e-05,207.39710300000002,4.757142857142857e-05,190.70237314285714,5.528571428571429e-05,190.70237314285714
6,0.0001732,219.8822302,6.96e-05,182.56452819999998,0.0001564,180.132124,8.64e-05,180.132124
7,0.00033583333333333333,280.749002,9.983333333333334e-05,303.152338,0.0009568333333333333,239.11930916666665,0.00021866666666666668,239.11930916666665
8,0.0002164,298.4470792,0.0001204,296.5138888,0.0064930000000000005,256.323667,0.0005612,256.323667
9,0.0002342,329.5831514,0.0001406,289.9535982,0.0563766,251.37754459999996,0.00159,251.37754459999996
10,0.0003513333333333333,335.6131565,0.00015283333333333335,339.99498416666665,0.539113,249.35321633333334,0.004066166666666667,249.35321633333334
