filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,brute_cost,brute_time_s,dp_cost,dp_time_s,total_time_s
0,5,246.421865,0.006317,182.857350,0.000097,182.857350,0.000045,182.857350,0.000057,0.006565
1,3,142.936959,0.000149,142.936959,0.000048,142.936959,0.000011,142.936959,0.000010,0.000246
2,2,79.716453,0.000121,79.716453,0.000036,79.716453,0.000007,79.716453,0.000005,0.000194
3,8,294.223273,0.000229,353.426821,0.000219,292.423953,0.006234,292.423953,0.000560,0.007317
4,7,263.287724,0.000202,318.762411,0.000073,202.455994,0.000841,202.455994,0.000214,0.001388
5,7,266.381406,0.000178,266.381406,0.000089,203.499917,0.000890,203.499917,0.000218,0.001427
6,3,194.884593,0.000141,194.884593,0.000044,194.884593,0.000010,194.884593,0.000009,0.000233
7,10,424.184987,0.000248,428.223052,0.000121,282.701222,0.520876,282.701222,0.004038,0.525377
8,9,329.046831,0.000236,330.006000,0.000230,270.088036,0.054634,270.088036,0.001551,0.056740
9,4,246.251960,0.000137,227.062403,0.000046,213.064948,0.000012,213.064948,0.000013,0.000239
10,6,197.824271,0.000172,161.029285,0.000058,161.029285,0.000141,161.029285,0.000080,0.000497
11,2,87.335310,0.000106,87.335310,0.000028,87.335310,0.000011,87.335310,0.000004,0.000171
12,9,371.615661,0.000230,321.255600,0.000123,245.888546,0.054546,245.888546,0.001578,0.056559
13,6,236.559616,0.000174,178.004205,0.000061,178.004205,0.000132,178.004205,0.000078,0.000489
14,5,264.169900,0.000169,307.993061,0.000075,208.006755,0.000043,208.006755,0.000044,0.000372
15,6,269.084285,0.000171,221.211446,0.000077,209.049425,0.000143,209.049425,0.000078,0.000515
16,8,263.860390,0.000220,236.960637,0.000090,231.237921,0.006430,231.237921,0.000559,0.007369
17,8,262.256378,0.000205,274.532960,0.000082,256.377247,0.006195,256.377247,0.000556,0.007105
18,2,75.659213,0.000140,75.659213,0.000039,75.659213,0.000009,75.659213,0.000006,0.000220
19,10,321.704879,0.000288,301.250606,0.000145,210.159370,0.530602,210.159370,0.003914,0.535062
20,8,270.399495,0.000219,270.097682,0.000107,185.833182,0.006374,185.833182,0.000550,0.007319
21,3,199.743725,0.000138,199.743725,0.000045,199.743725,0.000010,199.743725,0.000009,0.000229
22,6,119.497036,0.000178,119.497036,0.000073,119.497036,0.000168,119.497036,0.000079,0.000547
23,9,408.057778,0.000241,362.336894,0.000121,314.412674,0.056440,314.412674,0.001560,0.058445
24,10,344.824282,0.000312,274.318328,0.000159,227.385710,0.553704,227.385710,0.004115,0.558398
25,4,136.848057,0.000154,136.848057,0.000053,128.610179,0.000017,128.610179,0.000017,0.000271
26,4,176.535399,0.000159,176.535399,0.000054,176.535399,0.000033,176.535399,0.000017,0.000298
27,3,126.811123,0.000143,126.811123,0.000037,126.811123,0.000007,126.811123,0.000006,0.000224
28,3,119.355812,0.000239,119.355812,0.000092,119.355812,0.000013,119.355812,0.000012,0.000401
29,10,341.666751,0.000301,418.163560,0.000153,301.328565,0.539065,301.328565,0.004118,0.543744
30,10,265.393374,0.000634,265.805610,0.000190,253.999312,0.544372,253.999312,0.004119,0.549460
31,7,336.630100,0.000180,364.119399,0.000088,325.265113,0.000858,325.265113,0.000215,0.001393
32,3,168.499212,0.000150,168.499212,0.000049,168.499212,0.000011,168.499212,0.000009,0.000250
33,7,260.018013,0.000381,257.745279,0.000172,213.789244,0.001224,213.789244,0.000236,0.002113
34,5,207.833317,0.000309,202.932823,0.000118,202.932823,0.000057,202.932823,0.000066,0.000615
35,4,283.669580,0.000171,226.728661,0.000057,226.728661,0.000017,226.728661,0.000022,0.000302
36,5,205.727717,0.000188,190.992648,0.000066,190.992648,0.000048,190.992648,0.000042,0.000383
37,5,249.978922,0.000185,178.121073,0.000063,178.121073,0.000061,178.121073,0.000109,0.000456
38,7,269.654294,0.000186,269.654294,0.000090,252.363383,0.000975,252.363383,0.000214,0.001520
39,2,99.323153,0.000110,99.323153,0.000036,99.323153,0.000008,99.323153,0.000006,0.000182
40,5,159.609890,0.000179,167.875149,0.000055,159.609890,0.000031,159.609890,0.000029,0.000335
41,8,401.495860,0.000209,347.551344,0.000104,315.746032,0.007232,315.746032,0.000581,0.008193
42,9,281.899530,0.000230,220.372532,0.000125,220.372532,0.059563,220.372532,0.001607,0.061609
43,7,288.522475,0.000888,342.251239,0.000087,237.342204,0.000953,237.342204,0.000215,0.002197
44,6,276.445943,0.000171,233.080669,0.000079,233.080669,0.000198,233.080669,0.000117,0.000610
45,9,257.295957,0.000234,215.796965,0.000104,206.125935,0.056700,206.125935,0.001654,0.058779
46,10,315.904666,0.000325,352.208749,0.000149,220.545119,0.546059,220.545119,0.004093,0.550740
47,3,183.588769,0.000148,183.588769,0.000046,183.588769,0.000010,183.588769,0.000009,0.000250
48,5,216.048300,0.000165,221.007617,0.000064,212.396073,0.000048,212.396073,0.000040,0.000353
49,4,168.947465,0.000139,179.404584,0.000043,168.947465,0.000012,168.947465,0.000012,0.000236
